"user_id","transactions_count","distinct_servers_count","transactions_size_mean","transactions_geodesic_distance_mean","transactions_iat_mean"
2106,7,1,40137,0,276951
2138,2,1,5095,6877,454903
2145,3618,1571,17513,7844,110
2147,1512,131,588,6960,1589
2154,5,2,803900,0,176885
2155,2,1,144130,6877,772
2156,24729,1226,340,6909,92
2159,2,1,90489,0,86860
2160,111,18,711188,1060,19886
2166,35328,2882,416,8358,69
2176,1,1,6569,6877,2419200
2180,24,1,283,6877,82370
2192,22,3,417197,6877,90943
2193,2,1,29416,0,156103
2201,15935,8522,4385,8659,137
2210,1,1,5326,6877,2419200
2222,53,1,866842,6877,35737
2236,1,1,2045408,0,2419200
2255,9,7,424,6877,19121
2258,3,1,653824,6877,72380
2272,1,1,1337,2439,2419200
2295,1,1,315780,6877,2419200
2296,1,1,57371,0,2419200
2297,301,1,2050,6877,652
2306,2,2,633,6877,357779
2310,2,2,2324,0,597745
2311,316,251,2211,10245,3
2312,101,94,4012,8412,3
2314,25,1,3879,6877,86687
2316,9,1,3828343,6877,184871
2318,107,2,468,64,12090
2320,36935,15461,510,8318,28
2321,1442,1234,1031,8522,786
2332,7,2,419,6877,4442
2335,9,2,29550,0,201225
2348,1,1,2215,6877,2419200
2368,227,133,1772,3823,10193
2381,49,1,686,6877,38775
2383,4921,2394,1097,8000,73
2389,1,1,1294,0,2419200
2392,197,174,610,8315,1183
2394,1,1,7698,6877,2419200
2398,1,1,71084,6877,2419200
2406,4888,800,14161,748,475
2417,2,1,42076,6877,346469
2426,470,390,943,8746,751
2450,3,1,1238772,0,46207
2456,1,1,11490,0,2419200
2461,25,13,390,6877,7750
2477,1,1,988778,6877,2419200
2479,4377,1836,5461,8184,509
2490,2,1,1970,6877,236370
2498,18037,9451,3633,8706,134
2526,5,2,17718,6877,53467
2527,37286,1113,363,7104,57
2542,17,1,481,0,645
2545,9,4,4912337,5349,95404
2546,1,1,4187,6877,2419200
2548,6,4,30631,6877,188187
2550,2,1,16257,0,61500
2554,37731,16701,3573,8551,54
2573,9,1,803570,0,242045
2581,4,2,115637,0,371842
2582,136,2,190488,0,16007
2586,25,15,2996,9628,532
2598,4,1,5661,6877,497330
2608,42421,18666,610,8203,45
2613,3,1,162002,6877,683036
2616,9,1,1968320,0,180619
2629,8,1,1516991,6877,157399
2630,2,1,68651,6877,992267
2637,1,1,3145,6877,2419200
2638,10,1,201,8658,36939
2653,14,1,1104095,6877,166600
2655,45,2,533,306,16275
2656,51,5,1807,7156,47172
2666,2,1,812205,6877,576267
2670,2,2,426,6877,340521
2682,2,1,26528,8401,1715
2694,9,1,461429,6877,232602
2703,23078,12965,1077,8440,58
2727,2609,147,494,6954,150
2729,457,7,3657,6350,4362
2748,1082,847,2593,8415,186
2759,13,2,964131,0,101038
2772,4,3,1905,6877,390930
2774,1,1,2876690,0,2419200
2779,5,2,791,0,224350
2781,3,1,412,6877,26
2799,4055,2325,739,8135,20
2803,1,1,81728,6877,2419200
2813,19105,9674,1442,8383,116
2815,1,1,125385,6877,2419200
2830,11597,4319,631,8132,95
2834,1,1,1788364,0,2419200
2838,304,2,1379735,0,7142
2849,7,1,371075,6877,257304
2853,30078,14210,5055,8645,79
2861,15,3,2471937,6877,132960
2865,770,1,1193,6877,3139
2872,1,1,19361,0,2419200
2879,10238,7119,774,8409,180
2890,106,1,335,6877,17
2894,7,6,4382,7792,263003
2895,9328,5417,709,8617,128
2897,4,1,409229,0,368804
2902,4,1,2193224,0,233185
2914,5,1,3399965,6877,251790
2919,1,1,6026,0,2419200
2922,1,1,18451,0,2419200
2925,2,1,1939541,6877,114256
2940,207,181,1508,8412,62
2943,10349,6040,1389,8747,188
2974,6,4,1692,6877,51379
2978,5,2,27309,6877,441093
2991,3528,1801,507,8150,694
3010,32873,15281,1538,8603,72
3012,17808,8344,11597,10799,117
3021,1,1,428742,6877,2419200
3025,29713,13893,3445,8544,80
3034,2,1,482,0,298
3052,10950,6069,760,8476,176
3053,269,46,194,10210,6180
3074,1,1,1250274,0,2419200
3077,10,9,894,8871,13245
3086,38340,17212,3245,8593,59
3087,1,1,1879,6877,2419200
3102,1,1,6383,0,2419200
3128,8,1,2229353,0,274178
3132,2,1,16483,0,119212
3137,1,1,996,0,2419200
3150,18617,9373,3333,8567,129
3152,1,1,266,6877,2419200
3153,1,1,15014,0,2419200
3158,1,1,405114,6877,2419200
3167,58,1,5047,6877,29002
3170,15319,6399,18193,8313,105
3172,2,1,32792,6877,42174
3173,20314,641,383,7159,70
3206,10,2,77191,6189,206942
3208,8,3,1466726,2579,248786
3209,1,1,4412,6877,2419200
3213,23,3,154775,6877,90274
3220,1,1,2240,6877,2419200
3227,221,2,1096,2707,7479
3268,2,2,21409,6877,581810
3277,12961,9248,815,8398,93
3283,6833,4118,2111,8727,59
3284,57,1,319,0,21045
3294,2,1,2006,6877,101
3297,6,1,374445,0,132213
3299,1,1,76314,0,2419200
3313,1,1,21397,0,2419200
3314,138,125,3032,8702,238
3316,4,1,510315,6877,178628
3326,4,2,1222203,0,234239
3330,4,1,111894,0,250408
3331,1,1,4799,0,2419200
3340,4,1,8699,6877,368224
3344,9,1,89574,6877,147203
3346,3,1,32312,6877,257102
3349,1,1,9929,0,2419200
3359,6,2,144774,0,302502
3399,22419,11096,3605,8562,104
3401,6,4,185555,3439,117322
3404,49,27,40752,5800,40276
3420,12,2,1485,6877,148668
3435,1,1,137484,6877,2419200
3452,789,258,424,9727,849
3462,33641,13191,583,8003,65
3476,19657,9888,1001,8635,12
3480,10,1,3885,6877,15071
3488,2,1,14046,6877,759142
3489,1,1,36444,6877,2419200
3503,1,1,75266,6877,2419200
3516,28788,13371,1516,8547,83
3532,35928,16073,3631,8619,64
3542,1,1,2854,0,2419200
3543,7,1,116130,0,176547
3557,2,2,299,0,30544
3558,3,1,214891,6877,206768
3565,11574,7198,13150,8240,195
3566,26,3,752360,6877,83713
3569,3,1,9356,6877,430759
3570,1,1,26477,6877,2419200
3575,2,2,4779,3439,657083
3590,2,1,12068,6877,211518
3591,265,2,220501,6851,8249
3593,4,1,1452,6877,47523
3597,1,1,10583,6877,2419200
3599,2,2,3555,6877,391538
3622,1,1,200531,0,2419200
3631,14,9,375,4259,101399
3635,2,2,74151,3439,81858
3680,3,1,730523,6877,370963
3695,2510,1949,6578,9477,957
3716,445,393,1411,8545,5099
3733,16,2,554,2579,1281
3747,50,2,388949,0,38013
3753,17153,9065,3881,8615,120
3755,4,1,125798,0,264054
3760,9901,3676,539,8513,245
3765,72,5,249067,478,30272
3768,12223,8018,2947,9122,145
3769,3199,246,38275,6680,660
3776,621,497,566,8412,330
3815,4,1,354,6877,85
3823,9773,3719,849,8193,200
3838,6,2,448,0,283412
3843,36,2,963094,6877,42765
3846,19014,9782,3920,8629,119
